,author,title,date,
32,jes,Development Environment,2002-08-05 07:42:00,
33,eviltyler,Development Environment,2002-08-05 15:10:00,
34,fry,Development Environment,2002-08-05 19:08:00,
35,eviltyler,Development Environment,2002-08-05 19:28:00,
36,jlee,Development Environment,2002-08-06 21:11:00,
37,fry,Development Environment,2002-08-13 16:20:00,
38,fry,Development Environment,2002-09-02 19:52:00,
39,Processing,Learning,2002-08-02 15:35:00,
40,michael,Learning,2002-12-10 20:13:00,
41,michael,Learning,2002-12-11 07:15:00,
42,REAS,Learning,2002-12-11 09:53:00,
43,Dara,Learning,2003-01-11 15:16:00,
44,REAS,Learning,2003-01-13 23:48:00,
45,rlivings,example problems,2002-12-19 23:30:00,
46,REAS,example problems,2003-01-04 13:31:00,
47,benelek,example problems,2003-01-08 01:43:00,
48,REAS,example problems,2003-01-10 00:26:00,
49,Martin,examples section of discourse,2003-01-04 11:06:00,
50,REAS,examples section of discourse,2003-01-04 13:34:00,
51,REAS,examples section of discourse,2003-01-04 22:38:00,
52,Martin,examples section of discourse,2003-01-05 04:36:00,
53,Processing,Reference,2002-08-02 15:36:00,
54,michael,Reference,2002-12-12 06:46:00,
55,REAS,Reference,2003-01-04 13:33:00,
56,Processing,Discourse,2002-08-02 15:37:00,
57,adrien,Discourse,2002-08-03 10:43:00,
58,jes,Discourse,2002-08-03 18:47:00,
59,Takachin,Discourse,2002-08-04 06:51:00,
60,Glen Murphy,Discourse,2002-10-30 04:36:00,
61,REAS,Discourse,2002-11-05 23:13:00,
62,adrien,P5 ate my code?,2002-08-08 00:02:00,
63,fry,P5 ate my code?,2002-08-09 01:44:00,
64,adrien,P5 ate my code?,2002-08-10 00:29:00,
65,adrien,P5 ate my code?,2002-08-10 00:31:00,
66,adrien,P5 ate my code?,2002-08-10 21:38:00,
67,fry,P5 ate my code?,2002-08-12 05:05:00,
68,mKoser,pressing play results in nothing!,2002-08-20 00:07:00,
69,mKoser,pressing play results in nothing!,2002-08-21 00:04:00,
70,Alex,Cannot download 0044 for OSX,2002-09-03 05:54:00,
71,fry,Cannot download 0044 for OSX,2002-09-03 20:39:00,
72,Alex,Downloading Problem,2002-10-20 09:00:00,
73,fry,Downloading Problem,2002-10-20 20:33:00,
74,Alex,Downloading Problem,2002-10-20 21:31:00,
75,fry,Downloading Problem,2002-10-20 21:46:00,
76,Alex,Downloading Problem,2002-10-20 22:09:00,
77,fry,Downloading Problem,2002-10-20 22:21:00,
78,Martin,string bug,2002-09-02 12:07:00,
79,fry,string bug,2002-09-02 19:46:00,
80,Martin1,string bug,2002-09-03 07:07:00,
81,fry,string bug,2002-11-19 06:02:00,
82,fry,string bug,2002-11-20 20:24:00,
83,artelse,OSX window resizing problem,2002-09-24 16:20:00,
84,Frederik De Bleser,OSX window resizing problem,2002-09-24 22:14:00,
85,mohn,OSX window resizing problem,2002-09-28 08:08:00,
86,fry,OSX window resizing problem,2002-10-02 23:37:00,
87,fry,OSX window resizing problem,2002-11-20 20:29:00,
88,michaONE,"ERROR while expanding ""new version""!",2002-09-04 23:46:00,
89,fry,"ERROR while expanding ""new version""!",2002-09-05 17:13:00,
90,mKoser,"ERROR while expanding ""new version""!",2002-09-08 10:03:00,
91,fry,"ERROR while expanding ""new version""!",2002-11-20 20:30:00,
92,fdb,Startup error due to corrupt sketches,2002-11-27 00:23:00,
93,fry,Startup error due to corrupt sketches,2002-11-27 01:53:00,
94,nurm,save as...,2002-11-26 20:26:00,
95,fry,save as...,2002-11-27 01:54:00,
96,jes,0046 problem with OSX,2002-11-23 16:15:00,
97,fry,0046 problem with OSX,2002-11-25 19:28:00,
98,jes,0046 problem with OSX,2002-11-26 05:45:00,
99,jes,0046 problem with OSX,2002-11-26 16:25:00,
100,fry,0046 problem with OSX,2002-11-26 17:20:00,
101,jes,0046 problem with OSX,2002-11-27 06:37:00,
102,fry,0046 problem with OSX,2002-11-27 07:24:00,
103,jes,0046 problem with OSX,2002-11-28 00:23:00,
104,fry,0046 problem with OSX,2002-11-28 02:23:00,
105,jes,0046 problem with OSX,2002-11-28 04:18:00,
106,brendanberg,0046 problem with OSX,2002-11-28 07:48:00,
107,fry,0046 problem with OSX,2002-11-30 23:43:00,
108,fry,0046 problem with OSX,2003-01-26 01:20:00,
109,mKoser,every other line is empty on startUp,2002-11-27 13:57:00,
110,fry,every other line is empty on startUp,2002-11-27 15:35:00,
111,sportebois,every other line is empty on startUp,2002-12-21 11:22:00,
112,fry,every other line is empty on startUp,2003-01-26 01:21:00,
113,sdewitt,proce55inf fails at startup on OSX (jaguar),2002-12-01 02:00:00,
114,fry,proce55inf fails at startup on OSX (jaguar),2002-12-01 19:21:00,
115,sdewitt,proce55inf fails at startup on OSX (jaguar),2002-12-02 05:00:00,
116,fry,proce55inf fails at startup on OSX (jaguar),2002-12-02 20:11:00,
117,sdewitt,proce55inf fails at startup on OSX (jaguar),2002-12-04 04:04:00,
118,jes,proce55inf fails at startup on OSX (jaguar),2002-12-04 05:23:00,
119,jes,proce55inf fails at startup on OSX (jaguar),2002-12-05 05:56:00,
120,fry,proce55inf fails at startup on OSX (jaguar),2002-12-05 06:10:00,
121,juancarlos,proce55inf fails at startup on OSX (jaguar),2002-12-05 22:08:00,
122,fry,proce55inf fails at startup on OSX (jaguar),2002-12-06 00:19:00,
123,jes,proce55inf fails at startup on OSX (jaguar),2002-12-06 04:52:00,
124,fry,proce55inf fails at startup on OSX (jaguar),2002-12-06 07:44:00,
125,fry,proce55inf fails at startup on OSX (jaguar),2002-12-07 00:26:00,
126,benelek,scroll wheel in 0047.,2003-01-06 14:52:00,
127,fry,scroll wheel in 0047.,2003-01-06 15:55:00,
128,fry,Proce55ing revision 0048 released !,2002-09-02 19:57:00,
129,fry,Proce55ing revision 0048 released !,2002-11-21 02:16:00,
130,Martin,Proce55ing revision 0048 released !,2003-01-08 01:10:00,
131,benelek,Proce55ing revision 0048 released !,2003-01-08 01:50:00,
132,nurm,ctrl-a,2002-11-06 20:56:00,
133,fry,ctrl-a,2002-11-06 22:15:00,
134,fry,ctrl-a,2002-11-20 20:26:00,
135,michaONE,Problem to start PROCESSING-0043,2002-08-03 11:14:00,
136,michaONE,Problem to start PROCESSING-0043,2002-08-03 12:06:00,
137,david.zerah,Problem to start PROCESSING-0043,2002-08-03 14:00:00,
138,fry,Problem to start PROCESSING-0043,2002-08-04 00:35:00,
139,michaONE,Problem to start PROCESSING-0043,2002-08-04 01:27:00,
140,fry,Problem to start PROCESSING-0043,2002-08-05 19:21:00,
141,michaONE,Problem to start PROCESSING-0043,2002-08-12 18:38:00,
142,fry,Problem to start PROCESSING-0043,2002-08-13 16:14:00,
143,michaONE,Problem to start PROCESSING-0043,2002-08-14 15:17:00,
144,fry,Problem to start PROCESSING-0043,2002-08-15 00:32:00,
145,michaONE,Problem to start PROCESSING-0043,2002-08-16 21:52:00,
146,Glen Murphy,0046: delay() in loop,2002-12-04 04:35:00,
147,Glen Murphy,0046: delay() in loop,2002-12-04 04:45:00,
148,fry,0046: delay() in loop,2002-12-05 06:21:00,
149,fry,0046: delay() in loop,2003-01-26 22:43:00,
150,fry,0049 export bug,2003-01-27 07:40:00,
151,fry,0049 export bug,2003-01-27 16:50:00,
152,fdb,Long buglist for PDE,2002-09-25 01:26:00,
153,Processing,Long buglist for PDE,2002-09-25 19:32:00,
154,fry,Long buglist for PDE,2002-10-20 20:45:00,
155,fry,Long buglist for PDE,2002-11-20 20:27:00,
156,fry,Long buglist for PDE,2003-01-26 22:47:00,
157,Martin,pond,2003-02-13 07:51:00,
158,REAS,pond,2003-02-13 19:11:00,
159,martin_publicterminal,pond,2003-02-14 03:53:00,
160,Martin,ellipseMode(),2003-02-06 16:38:00,
161,REAS,ellipseMode(),2003-02-06 20:20:00,
162,Martin,bugs@examples,2003-02-19 16:54:00,
163,REAS,bugs@examples,2003-02-19 18:59:00,
164,Martin,bugs@examples,2003-02-20 14:08:00,
165,REAS,bugs@examples,2003-02-20 16:52:00,
166,_martin,bugs@examples,2003-02-21 04:01:00,
167,fry,Proce55ing 0051 released,2003-01-31 22:23:00,
168,fry,Proce55ing 0050 Released !,2003-01-26 21:48:00,
169,fry,Proce55ing 0050 Released !,2003-01-26 22:13:00,
170,Josh Nimoy,Proce55ing 0050 Released !,2003-01-27 07:37:00,
171,fry,Proce55ing 0050 Released !,2003-01-27 16:50:00,
172,Martin,Proce55ing 0050 Released !,2003-01-31 13:25:00,
173,tomek,Proce55ing 0050 Released !,2003-02-16 16:06:00,
174,fry,Proce55ing 0050 Released !,2003-02-17 01:50:00,
175,tomek,Proce55ing 0050 Released !,2003-02-17 15:47:00,
176,tomek,Proce55ing 0050 Released !,2003-02-19 03:10:00,
177,fry,Proce55ing 0050 Released !,2003-02-19 14:47:00,
178,tomek,Proce55ing 0050 Released !,2003-02-19 16:30:00,
179,fry,Proce55ing 0050 Released !,2003-02-24 06:22:00,
180,Martin,0050 revisions.txt,2003-02-25 17:46:00,
181,fry,0050 revisions.txt,2003-02-25 21:02:00,
182,_martin,0050 revisions.txt,2003-02-26 02:36:00,
183,fry,0050 revisions.txt,2003-03-05 22:34:00,
184,benelek,image nonexistant,2003-02-21 12:46:00,
185,fry,image nonexistant,2003-02-21 14:25:00,
186,benelek,image nonexistant,2003-02-21 14:41:00,
187,fry,image nonexistant,2003-02-22 16:08:00,
188,benelek,image nonexistant,2003-02-23 00:51:00,
189,fry,image nonexistant,2003-02-24 06:24:00,
190,fry,image nonexistant,2003-03-05 22:31:00,
191,Glen Murphy,0046: non-existant images crash the editor,2002-12-09 05:58:00,
192,fry,0046: non-existant images crash the editor,2002-12-09 18:04:00,
193,Glen Murphy,0046: non-existant images crash the editor,2002-12-09 21:32:00,
194,Glen Murphy,0046: non-existant images crash the editor,2002-12-09 21:36:00,
195,fry,0046: non-existant images crash the editor,2002-12-10 00:32:00,
196,fry,0046: non-existant images crash the editor,2003-03-05 22:30:00,
197,gaza,Simulate Example,2003-01-10 19:13:00,
198,fry,Simulate Example,2003-01-10 20:05:00,
199,dnm,Simulate Example,2003-01-12 07:06:00,
200,fry,Simulate Example,2003-01-12 18:08:00,
201,fry,Simulate Example,2003-03-05 22:29:00,
202,benelek,color is not a dirty word,2003-01-15 00:42:00,
203,fry,color is not a dirty word,2003-01-15 00:46:00,
204,benelek,color is not a dirty word,2003-01-15 01:06:00,
205,benelek,color is not a dirty word,2003-01-15 01:09:00,
206,benelek,color is not a dirty word,2003-01-15 01:13:00,
207,fry,color is not a dirty word,2003-01-15 02:47:00,
208,fry,color is not a dirty word,2003-03-05 22:29:00,
209,mawend,array of colors?,2003-02-12 08:01:00,
210,fry,array of colors?,2003-02-12 13:27:00,
211,fry,array of colors?,2003-03-05 22:28:00,
212,toxi,Moved: compile error but works in authoring mode,2003-04-01 19:20:00,
213,Mike Davis,Cursor in 0047,2003-01-07 18:58:00,
214,fry,Cursor in 0047,2003-01-07 20:22:00,
215,Mike Davis,Cursor in 0047,2003-01-07 20:32:00,
216,fry,Cursor in 0047,2003-01-07 20:53:00,
217,Mike Davis,Cursor in 0047,2003-01-07 21:23:00,
218,Glen Murphy,Cursor in 0047,2003-01-08 01:15:00,
219,Mike Davis,Cursor in 0047,2003-01-08 06:54:00,
220,Martin,Cursor in 0047,2003-01-08 15:52:00,
221,Mike Davis,Cursor in 0047,2003-01-09 06:53:00,
222,fry,Cursor in 0047,2003-01-09 18:51:00,
223,Martin,Cursor in 0047,2003-01-10 03:00:00,
224,fry,Cursor in 0047,2003-01-26 21:08:00,
225,cetan,Cursor in 0047,2003-02-11 19:21:00,
226,100luz,Cursor in 0047,2003-02-12 01:40:00,
227,tomek,Cursor in 0047,2003-02-25 00:34:00,
228,Mike Davis,Cursor in 0047,2003-01-07 18:58:00,
229,fry,Cursor in 0047,2003-01-07 20:22:00,
230,Mike Davis,Cursor in 0047,2003-01-07 20:32:00,
231,fry,Cursor in 0047,2003-01-07 20:53:00,
232,Mike Davis,Cursor in 0047,2003-01-07 21:23:00,
233,Glen Murphy,Cursor in 0047,2003-01-08 01:15:00,
234,Mike Davis,Cursor in 0047,2003-01-08 06:54:00,
235,Martin,Cursor in 0047,2003-01-08 15:52:00,
236,Mike Davis,Cursor in 0047,2003-01-09 06:53:00,
237,fry,Cursor in 0047,2003-01-09 18:51:00,
238,Martin,Cursor in 0047,2003-01-10 03:00:00,
239,fry,Cursor in 0047,2003-01-26 21:08:00,
240,cetan,Cursor in 0047,2003-02-11 19:21:00,
241,100luz,Cursor in 0047,2003-02-12 01:40:00,
242,tomek,Cursor in 0047,2003-02-25 00:34:00,
243,fry,Cursor in 0047,2003-02-25 21:29:00,
244,fry,Cursor in 0047,2003-02-25 21:32:00,
245,tomek,Cursor in 0047,2003-02-27 02:38:00,
246,fry,Cursor in 0047,2003-02-27 05:47:00,
247,Ariel Malka,Cursor in 0047,2003-03-02 13:25:00,
248,Ariel Malka,Cursor in 0047,2003-03-02 14:10:00,
249,Ariel Malka,Cursor in 0047,2003-03-02 14:24:00,
250,arielm,Cursor in 0047,2003-03-03 01:02:00,
251,fry,Cursor in 0047,2003-03-03 16:15:00,
252,arielm,Cursor in 0047,2003-03-03 17:33:00,
253,fry,Cursor in 0047,2003-03-03 20:17:00,
254,arielm,Cursor in 0047,2003-03-04 00:23:00,
255,aalmos,Cursor in 0047,2003-03-04 15:52:00,
256,fry,Cursor in 0047,2003-03-04 18:00:00,
257,arielm,Cursor in 0047,2003-03-04 18:44:00,
258,aalmos,Cursor in 0047,2003-03-04 20:00:00,
259,fry,Cursor in 0047,2003-04-02 03:22:00,
260,fry,Cursor in 0047,2003-04-02 21:20:00,
261,jbk303,caret,2003-03-28 13:45:00,
262,Martin,caret,2003-03-29 15:48:00,
263,fry,caret,2003-04-02 21:21:00,
264,Martin,more 0053 bug,2003-04-08 05:06:00,
265,fry,more 0053 bug,2003-04-11 17:45:00,
266,Martin,more 0053 bug,2003-04-11 18:12:00,
267,fry,more 0053 bug,2003-04-11 21:22:00,
268,Martin,major 0053 bug,2003-04-08 03:53:00,
269,fry,major 0053 bug,2003-04-11 17:45:00,
270,Glen Murphy,0053 output,2003-04-11 03:55:00,
271,skloopy,0053 output,2003-04-11 12:01:00,
272,fry,0053 output,2003-04-11 17:44:00,
273,Martin,smooth(),2003-03-27 16:47:00,
274,fry,smooth(),2003-03-27 19:04:00,
275,Martin,smooth(),2003-03-28 06:39:00,
276,Martin,smooth(),2003-03-28 16:03:00,
277,fry,smooth(),2003-03-28 21:00:00,
278,Martin,smooth(),2003-03-29 03:16:00,
279,skloopy,Where's my pixel,2003-02-20 00:34:00,
280,fry,Where's my pixel,2003-02-22 16:18:00,
281,fry,Where's my pixel,2003-03-17 20:56:00,
282,skloopy,Where's my pixel,2003-03-21 10:05:00,
283,100luz,Strange Line while using IMAGE,2003-02-10 19:19:00,
284,fry,Strange Line while using IMAGE,2003-02-24 06:35:00,
285,fry,Strange Line while using IMAGE,2003-03-17 20:56:00,
286,oytun,Proce55ing 54,2003-04-12 17:50:00,
287,oytun,Proce55ing 54,2003-04-12 20:49:00,
288,Martin,examples -> arrows,2003-04-09 09:54:00,
289,REAS,examples -> arrows,2003-04-15 14:09:00,
290,Martin,another one,2003-04-04 09:32:00,
291,REAS,another one,2003-04-15 14:10:00,
292,benelek,link error,2003-03-31 03:13:00,
293,Martin,link error,2003-03-31 06:06:00,
294,REAS,link error,2003-04-02 15:49:00,
295,pollux,Colombia instead of Columbia?,2003-04-30 00:10:00,
296,Processing,Colombia instead of Columbia?,2003-04-30 12:08:00,
297,Martin,cover page,2003-05-01 13:10:00,
298,Martin,%20 @ software,2003-03-19 15:15:00,
299,JimQode,%20 @ software,2003-05-01 10:18:00,
300,Martin,broken images,2003-05-05 01:40:00,
301,REAS,broken images,2003-05-05 11:56:00,
302,Dara,Tissue doesn't compile under 0054,2003-05-05 00:47:00,
303,REAS,Tissue doesn't compile under 0054,2003-05-05 12:01:00,
304,pollux,http://proce55ing.net/reference/nf_.html,2003-04-30 21:43:00,
305,pollux,http://proce55ing.net/reference/nf_.html,2003-04-30 21:46:00,
306,REAS,http://proce55ing.net/reference/nf_.html,2003-05-05 19:07:00,
307,mmuday,editor cursor disappears,2003-01-20 20:49:00,
308,Martin,editor cursor disappears,2003-01-21 15:37:00,
309,fry,editor cursor disappears,2003-01-26 21:08:00,
310,barikan,font,2003-04-14 21:02:00,
311,fry,font,2003-05-20 19:09:00,
312,barikan,font,2003-06-02 16:33:00,
313,fry,font,2003-06-08 17:47:00,
314,thimon,font,2003-12-21 17:37:00,
315,benelek,technotes page,2003-05-23 12:09:00,
316,Martin,technotes page,2003-05-23 13:16:00,
317,benelek,technotes page,2003-05-23 14:59:00,
318,heliodrop,color declaration before setup(),2003-07-17 16:47:00,
319,heliodrop,color declaration before setup(),2003-07-17 16:50:00,
320,Alex,proce55ing46 + OSX 10.2.2 + java1.4.1,2002-11-20 23:05:00,
321,fry,proce55ing46 + OSX 10.2.2 + java1.4.1,2002-11-21 01:40:00,
322,Alex,proce55ing46 + OSX 10.2.2 + java1.4.1,2002-11-21 02:52:00,
323,fry,proce55ing46 + OSX 10.2.2 + java1.4.1,2002-11-21 03:50:00,
324,Alex,proce55ing46 + OSX 10.2.2 + java1.4.1,2002-11-21 04:17:00,
325,fry,proce55ing46 + OSX 10.2.2 + java1.4.1,2002-11-25 19:29:00,
326,fry,proce55ing46 + OSX 10.2.2 + java1.4.1,2003-01-26 22:39:00,
327,fry,proce55ing46 + OSX 10.2.2 + java1.4.1,2003-07-27 19:35:00,
328,mKoser,OSX error: Fail to launch the Reference,2002-11-27 20:14:00,
329,fry,OSX error: Fail to launch the Reference,2002-11-27 22:29:00,
330,mKoser,OSX error: Fail to launch the Reference,2002-11-29 14:25:00,
331,REAS,OSX error: Fail to launch the Reference,2002-11-30 01:04:00,
332,fry,OSX error: Fail to launch the Reference,2002-11-30 04:21:00,
333,fry,OSX error: Fail to launch the Reference,2003-07-27 19:37:00,
334,mr.prufrock,java.lang.VerifyError,2003-07-11 02:15:00,
335,benelek,java.lang.VerifyError,2003-07-11 03:23:00,
336,mr.prufrock,java.lang.VerifyError,2003-07-11 18:45:00,
337,benelek,java.lang.VerifyError,2003-07-12 05:32:00,
338,fry,java.lang.VerifyError,2003-07-14 15:52:00,
339,benelek,java.lang.VerifyError,2003-07-14 16:11:00,
340,toxi,java.lang.VerifyError,2003-07-14 19:53:00,
341,fry,java.lang.VerifyError,2003-07-27 19:41:00,
342,Elrick,register # contains wrong type,2003-07-12 02:49:00,
343,fry,register # contains wrong type,2003-07-14 15:54:00,
344,fry,register # contains wrong type,2003-07-27 19:42:00,
345,desdesign,nf() reference,2003-05-07 01:24:00,
346,REAS,nf() reference,2003-05-07 11:56:00,
347,senior,netEvent() reference,2003-06-17 16:46:00,
348,REAS,netEvent() reference,2003-08-06 07:51:00,
349,benelek,image for reference->video heading,2003-07-03 03:32:00,
350,REAS,image for reference->video heading,2003-08-08 21:15:00,
351,Donald Tyler,"Export to Web ""Issue""",2003-08-15 21:44:00,
352,Donald Tyler,"Export to Web ""Issue""",2003-08-15 22:04:00,
353,fry,"Export to Web ""Issue""",2003-08-17 20:16:00,
354,fry,"Export to Web ""Issue""",2003-08-22 05:24:00,
355,benelek,java/P5 inconsistency,2003-03-14 14:44:00,
356,fry,java/P5 inconsistency,2003-03-14 18:28:00,
357,fry,java/P5 inconsistency,2003-08-15 18:48:00,
358,nashdj,inner class constructor,2002-08-14 03:49:00,
359,fry,inner class constructor,2002-08-15 00:30:00,
360,fry,inner class constructor,2003-08-15 18:48:00,
361,Tim Chamness,Applet Classes,2003-08-22 02:12:00,
362,fry,Applet Classes,2003-08-22 04:26:00,
363,fry,Applet Classes,2003-09-01 01:58:00,
364,trip,"0058: ""save as"" dialog quirk",2003-08-28 22:45:00,
365,fry,"0058: ""save as"" dialog quirk",2003-08-29 03:49:00,
366,fry,"0058: ""save as"" dialog quirk",2003-09-01 01:57:00,
367,dima farer,instalation,2003-08-28 18:41:00,
368,fry,instalation,2003-08-28 18:46:00,
369,dima farer,instalation,2003-08-28 20:18:00,
370,fry,instalation,2003-08-28 20:25:00,
371,dima farer,instalation,2003-08-28 21:32:00,
372,dima farer,instalation,2003-08-28 21:48:00,
373,fry,instalation,2003-09-01 01:56:00,
374,marijke,Installation problem with Win 98,2003-08-30 22:13:00,
375,fry,Installation problem with Win 98,2003-08-30 23:00:00,
376,fry,Installation problem with Win 98,2003-09-01 01:55:00,
377,marijke,Installation problem with Win 98,2003-09-01 19:42:00,
378,marijke,Installation problem with Win 98,2003-09-01 19:44:00,
379,toxi,0058 compiled applets don't run with M$ JVM,2003-08-13 18:42:00,
380,fry,0058 compiled applets don't run with M$ JVM,2003-08-13 19:17:00,
381,fry,0058 compiled applets don't run with M$ JVM,2003-08-22 05:12:00,
382,fry,0058 compiled applets don't run with M$ JVM,2003-09-01 01:54:00,
383,arielm,058 won't start: can't find (existing) QT4JAVA!,2003-08-08 00:37:00,
384,fry,058 won't start: can't find (existing) QT4JAVA!,2003-08-08 19:11:00,
385,arielm,058 won't start: can't find (existing) QT4JAVA!,2003-08-08 23:05:00,
386,fry,058 won't start: can't find (existing) QT4JAVA!,2003-08-09 01:56:00,
387,Elout de Kok,058 won't start: can't find (existing) QT4JAVA!,2003-08-28 09:46:00,
388,fry,058 won't start: can't find (existing) QT4JAVA!,2003-08-28 17:22:00,
389,elout,058 won't start: can't find (existing) QT4JAVA!,2003-08-28 20:11:00,
390,fry,058 won't start: can't find (existing) QT4JAVA!,2003-08-29 03:51:00,
391,fry,058 won't start: can't find (existing) QT4JAVA!,2003-09-01 01:53:00,
392,mKoser,typography and imageMode(),2003-08-07 00:12:00,
393,benelek,typography and imageMode(),2003-08-07 05:20:00,
394,mKoser,typography and imageMode(),2003-08-07 10:12:00,
395,Martin,typography and imageMode(),2003-08-07 15:18:00,
396,mKoser,typography and imageMode(),2003-08-07 16:03:00,
397,Martin,typography and imageMode(),2003-08-07 18:42:00,
398,fry,typography and imageMode(),2003-08-08 19:13:00,
399,fry,typography and imageMode(),2003-08-31 22:55:00,
400,elout,typography and imageMode(),2003-09-10 06:08:00,
401,gsm,println weirdness,2003-04-30 00:07:00,
402,fry,println weirdness,2003-05-01 04:39:00,
403,benelek,println weirdness,2003-05-02 15:46:00,
404,fry,println weirdness,2003-05-03 01:02:00,
405,fdb,println weirdness,2003-05-03 21:41:00,
406,pollux,println weirdness,2003-05-05 19:38:00,
407,pollux,println weirdness,2003-05-05 20:23:00,
408,fry,println weirdness,2003-09-02 02:13:00,
409,gkoshra,int(random()); wierdness,2003-05-15 12:30:00,
410,toxi,int(random()); wierdness,2003-05-15 12:47:00,
411,edwardgeorge,int(random()); wierdness,2003-05-15 18:39:00,
412,gkoshra,int(random()); wierdness,2003-05-16 10:51:00,
413,REAS,int(random()); wierdness,2003-05-20 15:10:00,
414,Martin,int(random()); wierdness,2003-05-21 16:14:00,
415,benelek,int(random()); wierdness,2003-05-23 11:50:00,
416,Martin,int(random()); wierdness,2003-05-23 13:34:00,
417,fry,int(random()); wierdness,2003-06-24 21:45:00,
418,fry,int(random()); wierdness,2003-09-02 02:10:00,
419,Josh Nimoy,space between parans in void setup,2003-02-12 15:22:00,
420,fry,space between parans in void setup,2003-02-14 02:18:00,
421,fry,space between parans in void setup,2003-09-02 02:19:00,
422,sportebois,bug in // ...,2002-12-21 11:34:00,
423,fry,bug in // ...,2002-12-21 20:00:00,
424,fry,bug in // ...,2003-09-02 02:21:00,
425,Jerronimo,Casting/compiling bug?,2003-09-01 04:51:00,
426,mKoser,Casting/compiling bug?,2003-09-01 16:46:00,
427,fry,Casting/compiling bug?,2003-09-02 04:52:00,
428,nluken,this must have come up before...,2002-11-27 04:40:00,
429,fry,this must have come up before...,2002-11-27 07:19:00,
430,fry,this must have come up before...,2003-09-02 08:05:00,
431,jes,export and variables in Setup::size,2002-08-05 17:09:00,
432,fry,export and variables in Setup::size,2002-08-05 19:01:00,
433,fry,export and variables in Setup::size,2003-09-02 08:07:00,
434,mr.prufrock,background() before size(),2003-07-30 00:25:00,
435,fry,background() before size(),2003-07-30 01:39:00,
436,fry,background() before size(),2003-09-02 08:10:00,
437,XahXhaX,Moved: A problem starting it on account of Quicktime...,2003-09-05 21:06:00,
438,Regina,problems typing text,2003-09-01 08:00:00,
439,arielm,problems typing text,2003-09-01 09:51:00,
440,JimQode,a mindboggling issue,2003-01-14 00:21:00,
441,Mike Davis,a mindboggling issue,2003-01-14 10:43:00,
442,benelek,a mindboggling issue,2003-01-14 12:56:00,
443,benelek,a mindboggling issue,2003-01-14 13:11:00,
444,Martin,a mindboggling issue,2003-01-14 13:56:00,
445,benelek,a mindboggling issue,2003-01-14 15:24:00,
446,fry,a mindboggling issue,2003-01-15 00:35:00,
447,benelek,bezierVertex,2003-01-10 13:18:00,
448,fry,bezierVertex,2003-01-10 16:34:00,
449,fry,bezierVertex,2003-09-18 04:03:00,
450,benelek,initializer of the float,2003-01-18 07:36:00,
451,fry,initializer of the float,2003-01-20 14:54:00,
452,fry,initializer of the float,2003-09-18 04:04:00,
453,benelek,code colouring,2003-01-14 08:06:00,
454,fry,code colouring,2003-01-15 00:35:00,
455,fry,code colouring,2003-01-26 21:07:00,
456,adrien,Java 1.4.1 on MacOS X,2003-03-11 12:08:00,
457,fry,Java 1.4.1 on MacOS X,2003-03-12 03:50:00,
458,hawk,I think I found a compiler bug,2003-09-19 19:07:00,
459,fry,I think I found a compiler bug,2003-09-19 20:23:00,
460,hawk,I think I found a compiler bug,2003-09-19 23:29:00,
461,fry,I think I found a compiler bug,2003-09-20 00:30:00,
462,edwardgeorge,lines and fills in 3d,2003-05-29 16:11:00,
